Time,USS_FLS,USS_FL,USS_FLM,USS_FRM,USS_FR,USS_FRS,USS_RRS,USS_RR,USS_RRM,USS_RLM,USS_RL,USS_RLS
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
s,m,m,m,m,m,m,m,m,m,m,m,m
114.451,5,2.5,2.5,2.5,2.5,1.104125977,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.461,5,2.5,2.5,2.5,2.5,1.104125977,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.471,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.481,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.491,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.501,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.511,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.521,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.531,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.541,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.551,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.561,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.571,5,2.5,2.5,2.5,2.5,1.104125977,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.581,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.591,5,2.5,2.5,2.5,2.5,1.104152441,0.898172736,1.395956516,2.5,2.5,2.5,2.5
114.601,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.611,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.621,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.631,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.641,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.651,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.661,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.671,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.681,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.691,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.701,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.711,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.721,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.731,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.741,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.751,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.761,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.771,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.781,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.791,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.801,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.811,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.821,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.831,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.841,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.851,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.861,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.871,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.881,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.891,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.901,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.911,5,2.5,2.5,2.5,2.5,5,0.898172736,1.104152441,2.5,2.5,2.5,2.5
114.921,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
114.931,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
114.941,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
114.951,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
114.961,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
114.971,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
114.981,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
114.991,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.001,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.011,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.021,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.031,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.041,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.051,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.061,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.071,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.081,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.091,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.101,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.111,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.121,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.131,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.141,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.151,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.161,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.171,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.181,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.191,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.201,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.211,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.221,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
